idx,Bstart [%],Bend [%],Vload [CV],Yield [%],Purity [%],Prod [g/(l*CV)],tretA [CV],tretBC [CV],tretD [CV],peakwidthA [CV],peakwidthBC [CV],peakwidthD [CV],assymetryA [-],assymetryBC [-],assymetryD [-],poolVolume [CV],poolConcBC [g/l],poolConcSalt [M],cut1 [CV],cut2 [CV]
0,16.2,15.1,6.5,0.0,0.0,0.0,58.49,58.43,58.37,0.47,0.39,0.27,2.52,2.51,1.6,0,0.0,nan,0,0
1,3.6,53.6,3.7,95.23,95.0,0.25,48.75,39.13,33.45,4.63,4.4,4.46,1.16,1.39,1.21,10.12,1.16,0.16,36.92,47.04
2,2.9,50.7,0.5,96.24,95.0,0.03,48.74,40.38,34.34,5.8,4.01,4.39,1.56,1.14,0.99,9.25,0.16,0.16,37.65,46.89
3,21.7,7.0,1.0,0.0,0.0,0.0,52.99,52.93,52.9,0.48,0.41,0.3,2.02,2.12,1.78,0,0.0,nan,0,0
4,21.2,82.7,1.3,61.67,95.0,0.11,25.58,18.73,15.51,4.03,3.52,3.36,1.13,1.15,1.15,5.18,0.52,0.16,18.44,23.62
5,11.2,62.7,9.5,97.23,95.0,0.71,44.88,32.65,26.8,4.86,6.49,4.98,1.27,2.67,1.81,12.65,2.41,0.16,30.64,43.29
6,28.9,39.7,9.8,92.04,95.0,0.64,61.57,20.22,15.99,14.27,8.95,2.64,0.02,3.34,1.59,27.86,1.07,0.15,18.68,46.54
7,2.3,85.8,3.0,57.75,95.0,0.18,33.63,27.87,25.53,3.44,3.11,2.92,1.19,1.27,0.88,4.15,1.37,0.16,27.83,31.98
8,7.2,11.8,3.2,0.0,0.0,0.0,55.11,55.08,55.11,0.48,0.41,0.36,2.74,2.06,2.02,0,0.0,nan,0,0
9,40.8,18.1,5.9,0.01,99.0,0.0,57.74,10.25,10.12,0.41,3.63,2.04,2.33,2.51,1.83,0.18,0.01,0.11,7.79,7.97
10,31.9,37.2,5.5,80.35,95.0,0.35,57.34,17.2,13.09,0.42,7.87,2.91,2.2,1.83,1.14,25.42,0.58,0.15,16.0,41.42
11,3.1,6.0,2.1,0.0,0.0,0.0,54.11,54.09,54.14,0.48,0.41,0.41,2.35,1.87,1.9,0,0.0,nan,0,0
12,34.0,42.8,3.2,54.42,95.0,0.2,33.79,14.08,10.9,11.29,6.41,3.02,1.25,1.38,1.36,13.9,0.42,0.15,14.47,28.36
13,29.3,45.3,3.1,89.33,95.0,0.25,39.91,19.67,13.92,9.1,6.96,4.02,1.08,1.62,1.19,18.88,0.48,0.15,17.34,36.22
14,39.7,69.9,2.5,0.02,99.0,0.0,15.46,8.26,8.12,5.46,3.36,2.43,1.14,1.35,1.2,0.61,0.0,0.13,4.38,5.0
15,28.7,52.5,8.8,88.14,95.0,0.74,37.33,19.22,15.4,7.79,7.17,2.55,1.41,2.49,1.48,16.89,1.51,0.15,17.88,34.77
16,36.5,28.8,9.8,43.06,95.0,0.42,61.65,14.37,13.59,0.42,5.07,1.48,2.38,3.21,1.72,16.28,0.86,0.15,16.77,33.05
17,5.9,41.8,7.6,99.72,95.0,0.42,59.44,46.25,36.99,0.44,7.53,6.17,2.32,2.61,1.67,16.74,1.5,0.16,42.61,59.35
18,7.6,48.9,0.5,98.58,98.0,0.03,52.28,39.86,32.38,5.78,4.39,4.81,0.05,0.97,0.92,9.97,0.16,0.16,35.93,45.9
19,33.4,76.5,5.8,34.94,95.0,0.35,22.43,13.17,11.51,5.09,4.42,1.98,1.15,1.64,1.62,4.79,1.39,0.16,14.55,19.34
20,43.8,31.4,7.0,0.13,99.0,0.0,18.88,10.33,10.55,10.7,2.38,1.69,1.33,2.17,1.58,0.23,0.13,0.13,8.81,9.04
