idx,Bstart [%],Bend [%],Vload [CV],Yield [%],Purity [%],Prod [g/(l*CV)],tretA [CV],tretBC [CV],tretD [CV],peakwidthA [CV],peakwidthBC [CV],peakwidthD [CV],assymetryA [-],assymetryBC [-],assymetryD [-],poolVolume [CV],poolConcBC [g/l],poolConcSalt [M],cut1 [CV],cut2 [CV]
0,16.2,15.1,0.5,0.0,0.0,0.0,52.45,52.43,52.4,0.48,0.41,0.31,2.72,2.02,1.66,0,0.0,nan,0,0
1,3.6,53.6,0.5,94.72,95.0,0.04,46.4,38.25,32.7,4.51,3.92,4.27,1.01,1.21,0.95,8.65,0.18,0.17,35.89,44.55
2,2.9,50.7,0.5,96.24,95.0,0.03,48.67,40.4,34.15,5.8,4.01,4.4,1.67,1.12,1.17,9.26,0.17,0.16,37.66,46.91
3,21.7,7.0,0.5,0.0,0.0,0.0,52.48,52.42,52.42,0.48,0.41,0.31,2.18,2.34,1.6,0,0.0,nan,0,0
4,21.2,82.7,0.5,56.06,95.0,0.04,24.9,18.4,15.38,4.01,3.46,3.45,1.16,1.11,0.91,4.61,0.2,0.16,18.28,22.89
5,11.2,62.7,0.5,91.28,95.0,0.04,37.97,30.0,24.82,4.44,3.85,4.12,0.97,1.22,1.09,7.98,0.19,0.16,28.09,36.07
6,28.9,39.7,0.5,95.9,95.0,0.04,52.3,24.58,14.75,0.43,8.21,5.44,2.58,1.21,1.15,24.96,0.06,0.15,19.35,44.31
7,2.3,85.8,0.5,37.83,95.0,0.02,31.57,26.61,24.04,3.39,2.94,3.06,1.1,1.01,1.13,2.59,0.24,0.16,26.99,29.57
8,7.2,11.8,0.5,0.0,0.0,0.0,52.49,52.43,52.49,0.48,0.42,0.4,2.02,2.17,1.87,0,0.0,nan,0,0
9,40.8,18.1,0.5,7.92,95.0,0.01,52.39,7.91,7.51,0.42,5.98,3.72,2.75,1.59,1.33,6.38,0.02,0.13,13.71,20.09
10,31.9,37.2,0.5,83.5,95.0,0.03,52.3,19.6,12.43,0.42,8.56,4.95,2.82,1.21,1.04,25.18,0.05,0.15,16.75,41.93
11,3.1,6.0,0.5,0.0,0.0,0.0,52.47,52.44,52.5,0.48,0.42,0.44,2.58,2.18,2.28,0,0.0,nan,0,0
12,34.0,42.8,0.5,50.05,95.0,0.03,33.9,14.43,10.47,10.93,6.59,4.16,0.98,1.11,1.1,12.98,0.06,0.15,14.7,27.68
13,29.3,45.3,0.5,89.15,95.0,0.04,39.3,20.97,13.87,8.78,6.74,4.88,0.92,1.13,0.99,17.46,0.08,0.15,17.84,35.3
14,39.7,69.9,0.5,0.03,99.0,0.0,14.2,7.14,6.98,5.31,3.56,2.82,1.02,1.09,1.24,0.95,0.0,0.13,2.34,3.29
15,28.7,52.5,0.5,82.01,95.0,0.05,32.62,19.29,13.47,6.93,5.62,4.47,1.16,1.0,1.06,12.51,0.11,0.16,17.2,29.71
