idx,Bstart [%],Bend [%],Vload [CV],Yield [%],Purity [%],Prod [g/(l*CV)],tretA [CV],tretBC [CV],tretD [CV],peakwidthA [CV],peakwidthBC [CV],peakwidthD [CV],assymetryA [-],assymetryBC [-],assymetryD [-],poolVolume [CV],poolConcBC [g/l],poolConcSalt [M],cut1 [CV],cut2 [CV]
0,16.2,15.1,6.5,56.58,95.0,0.21,58.46,58.37,6.67,0.45,0.38,0.86,2.64,2.43,2.07,48.75,0.25,0.1,9.63,58.38
1,3.6,53.6,3.7,99.3,95.0,0.27,46.56,31.97,22.61,5.53,10.27,7.46,1.29,2.35,2.69,16.41,0.75,0.15,28.38,44.79
2,2.9,50.7,0.5,96.05,95.0,0.03,48.28,39.28,33.14,4.69,4.15,4.45,1.12,1.19,1.21,9.79,0.15,0.17,36.71,46.5
3,21.7,7.0,1.0,0.0,0.0,0.0,52.97,52.91,52.86,0.47,0.39,0.27,2.26,2.29,1.52,0,0.0,nan,0,0
4,21.2,82.7,1.3,80.83,95.0,0.15,24.94,16.44,13.15,4.19,4.14,3.07,1.05,1.52,1.19,7.6,0.47,0.16,15.53,23.14
5,11.2,62.7,9.5,58.25,95.0,0.52,41.76,9.03,6.66,10.22,2.73,1.13,0.77,0.72,3.14,22.86,0.8,0.11,11.99,34.85
6,28.9,39.7,9.8,42.81,95.0,0.64,39.96,11.7,6.66,39.24,0.62,1.13,1.26,2.85,3.14,9.65,1.43,0.13,11.95,21.6
7,2.3,85.8,3.0,92.87,95.0,0.29,32.55,24.04,20.35,3.77,5.24,3.64,1.23,2.45,1.42,8.47,1.08,0.16,22.75,31.22
8,7.2,11.8,3.2,0.0,0.0,0.0,55.09,55.04,54.99,0.46,0.38,0.27,2.58,2.43,1.55,0,0.0,nan,0,0
9,40.8,18.1,5.9,28.06,95.0,0.49,57.74,7.84,7.66,0.41,0.66,0.27,2.27,3.56,2.19,2.22,2.45,0.15,8.95,11.17
10,31.9,37.2,5.5,74.29,95.0,0.49,57.33,7.6,7.41,28.59,2.61,0.32,0.01,12.96,2.84,19.37,0.7,0.14,8.6,27.97
11,3.1,6.0,2.1,0.0,0.0,0.0,54.09,54.06,54.09,0.46,0.39,0.33,2.75,2.04,1.75,0,0.0,nan,0,0
12,34.0,42.8,3.2,61.52,95.0,0.29,28.03,8.15,6.43,12.73,5.71,1.19,1.52,2.09,2.36,14.07,0.46,0.15,8.84,22.91
13,29.3,45.3,3.1,88.26,95.0,0.29,34.75,10.89,7.61,10.86,7.97,1.9,1.53,3.27,1.91,21.5,0.42,0.15,9.9,31.4
14,39.7,69.9,2.5,0.0,0.0,0.0,14.03,5.83,5.74,6.0,2.8,1.28,1.08,3.37,1.75,0,0.0,nan,0,0
15,28.7,52.5,8.8,58.19,95.0,0.76,31.61,10.68,6.66,16.16,0.64,1.13,0.92,3.31,3.14,11.5,1.47,0.14,10.84,22.34
16,36.5,28.8,9.8,0.0,0.0,0.0,61.65,11.74,6.66,0.41,0.56,1.13,2.47,2.33,3.14,0,0.0,nan,0,0
17,5.9,41.8,7.6,84.64,95.0,0.4,59.41,8.04,6.66,0.45,0.85,1.13,2.45,0.4,3.14,42.2,0.5,0.11,10.64,52.84
18,7.6,48.9,0.5,98.64,95.0,0.03,48.61,38.26,31.14,6.21,4.57,4.87,1.65,1.31,1.0,11.92,0.13,0.16,34.85,46.77
19,33.4,76.5,5.8,67.31,95.0,0.79,19.28,7.81,7.62,6.94,1.59,0.31,1.4,8.78,2.02,7.6,1.69,0.15,8.63,16.24
20,43.8,31.4,7.0,0.0,0.0,0.0,13.58,8.91,6.66,10.29,0.53,1.12,1.19,2.27,3.13,0,0.0,nan,0,0
21,29.7,58.0,4.6,81.58,95.0,0.53,26.52,8.81,6.98,8.6,6.46,0.75,1.49,3.38,3.34,14.86,0.84,0.15,8.69,23.55
22,42.0,94.5,4.8,0.0,0.0,0.0,12.14,6.82,6.78,5.01,0.91,0.34,1.21,6.68,2.92,0,0.0,nan,0,0
23,33.2,6.1,7.0,71.56,95.0,0.28,58.97,8.98,6.66,0.43,0.57,1.13,2.37,2.49,3.14,49.71,0.34,0.11,9.17,58.88
24,32.4,99.3,8.2,57.42,95.0,1.01,19.48,10.17,6.66,6.75,0.64,1.13,1.03,2.95,3.14,5.24,2.99,0.15,10.34,15.57
25,14.2,38.6,6.7,96.43,95.0,0.4,58.55,8.8,6.66,0.44,32.44,1.02,2.51,19.4,2.76,44.41,0.48,0.12,9.13,53.54
26,1.1,46.2,1.8,98.34,95.0,0.11,53.56,40.04,33.3,0.45,5.98,5.26,2.21,2.42,1.52,13.3,0.43,0.16,37.62,50.92
27,5.9,5.9,7.7,14.91,95.0,0.06,59.63,59.54,6.66,0.45,0.39,1.13,2.0,2.18,3.14,40.72,0.09,0.07,18.75,59.47
28,6.5,24.8,4.0,50.53,95.0,0.12,55.91,55.79,26.66,0.46,0.38,14.36,2.03,2.12,3.23,9.27,0.72,0.12,46.54,55.81
29,43.6,8.1,4.5,0.0,0.0,0.0,56.43,6.59,6.59,0.41,0.78,0.39,2.78,5.6,2.39,0,0.0,nan,0,0
30,27.5,88.3,8.2,65.87,95.0,0.92,23.69,10.16,6.66,7.51,0.69,1.13,0.96,3.04,3.14,9.21,1.94,0.14,10.28,19.49
31,43.2,27.8,4.2,0.0,0.0,0.0,14.05,6.35,6.35,11.37,1.0,0.51,1.35,4.7,2.32,0,0.0,nan,0,0
32,17.9,88.4,9.6,53.97,95.0,0.69,30.36,9.03,6.66,7.99,4.39,1.13,0.74,1.76,3.14,12.9,1.33,0.12,11.83,24.73
33,7.5,17.6,2.4,0.0,0.0,0.0,54.34,54.28,54.22,0.46,0.38,0.27,2.33,2.28,1.69,0,0.0,nan,0,0
34,11.7,48.5,5.9,99.85,95.0,0.43,47.86,30.01,6.5,8.76,24.72,0.27,1.39,0.6,1.17,31.93,0.61,0.13,13.22,45.15
35,13.1,0.4,4.2,0.0,0.0,0.0,56.2,56.13,56.08,0.45,0.37,0.24,2.2,2.71,1.51,0,0.0,nan,0,0
